hx = 0.175, hy = 0.375, a = 0.356, w = 0.65, freqs = [185.10436063 240.93188312], gamma = 0.1065
hx = 0.175, hy = 0.35, a = 0.357, w = 0.65, freqs = [184.05609265 236.89325214], gamma = 0.10726
hx = 0.175, hy = 0.375, a = 0.357, w = 0.65, freqs = [184.75502927 240.34619659], gamma = 0.1076
hx = 0.175, hy = 0.35, a = 0.358, w = 0.65, freqs = [183.70177563 236.3169334 ], gamma = 0.1082
hx = 0.175, hy = 0.375, a = 0.358, w = 0.65, freqs = [184.40214424 239.74690994], gamma = 0.10866
hx = 0.175, hy = 0.35, a = 0.359, w = 0.65, freqs = [183.36515043 235.78693709], gamma = 0.10908
hx = 0.175, hy = 0.375, a = 0.359, w = 0.65, freqs = [184.06207121 239.16609163], gamma = 0.10964
hx = 0.175, hy = 0.35, a = 0.36, w = 0.65, freqs = [183.01427398 235.21595375], gamma = 0.10993
hx = 0.175, hy = 0.375, a = 0.36, w = 0.65, freqs = [183.70560601 238.57607758], gamma = 0.11064
hx = 0.175, hy = 0.35, a = 0.361, w = 0.65, freqs = [182.65876746 234.62825495], gamma = 0.11074
hx = 0.175, hy = 0.375, a = 0.361, w = 0.65, freqs = [183.34933644 237.96949862], gamma = 0.11158
hx = 0.175, hy = 0.35, a = 0.362, w = 0.65, freqs = [182.3159092  234.17451466], gamma = 0.11162
hx = 0.175, hy = 0.375, a = 0.362, w = 0.65, freqs = [183.01009234 237.51993438], gamma = 0.11257
hx = 0.175, hy = 0.375, a = 0.363, w = 0.65, freqs = [182.63454847 236.86153885], gamma = 0.11345
hx = 0.175, hy = 0.4, a = 0.363, w = 0.65, freqs = [183.39734107 240.00440872], gamma = 0.11353
hx = 0.175, hy = 0.375, a = 0.364, w = 0.65, freqs = [182.28192963 236.24148643], gamma = 0.11423
hx = 0.175, hy = 0.4, a = 0.364, w = 0.65, freqs = [183.03381112 239.33235991], gamma = 0.11445
hx = 0.175, hy = 0.375, a = 0.365, w = 0.65, freqs = [181.92690227 235.61325762], gamma = 0.11497
hx = 0.175, hy = 0.4, a = 0.365, w = 0.65, freqs = [182.68431209 238.6999259 ], gamma = 0.1153
hx = 0.175, hy = 0.375, a = 0.366, w = 0.65, freqs = [181.56804568 234.95985322], gamma = 0.11566
hx = 0.175, hy = 0.4, a = 0.366, w = 0.65, freqs = [182.32756539 238.02413608], gamma = 0.11609
hx = 0.175, hy = 0.375, a = 0.368, w = 0.65, freqs = [181.12570144 234.13352465], gamma = 0.11641
hx = 0.2, hy = 0.375, a = 0.368, w = 0.65, freqs = [183.71393977 244.47259112], gamma = 0.11651
hx = 0.175, hy = 0.4, a = 0.368, w = 0.65, freqs = [181.8897063  237.15911834], gamma = 0.11696
hx = 0.175, hy = 0.375, a = 0.369, w = 0.65, freqs = [180.77621896 233.50319778], gamma = 0.11698
hx = 0.2, hy = 0.375, a = 0.369, w = 0.65, freqs = [183.33765188 243.80085729], gamma = 0.11763
hx = 0.175, hy = 0.4, a = 0.369, w = 0.65, freqs = [181.53593627 236.48549963], gamma = 0.11764
hx = 0.2, hy = 0.35, a = 0.37, w = 0.65, freqs = [182.22158097 239.13622192], gamma = 0.1178
hx = 0.2, hy = 0.375, a = 0.37, w = 0.65, freqs = [182.96147915 243.13519413], gamma = 0.11872
hx = 0.2, hy = 0.35, a = 0.371, w = 0.65, freqs = [181.85413663 238.55029033], gamma = 0.11872
hx = 0.2, hy = 0.375, a = 0.371, w = 0.65, freqs = [182.59097915 242.49901109], gamma = 0.11975
hx = 0.2, hy = 0.375, a = 0.372, w = 0.65, freqs = [182.23996826 241.90591939], gamma = 0.12071
hx = 0.2, hy = 0.4, a = 0.372, w = 0.65, freqs = [183.05859799 245.65931862], gamma = 0.12073
hx = 0.2, hy = 0.375, a = 0.373, w = 0.65, freqs = [181.90197589 241.34691613], gamma = 0.12161
hx = 0.2, hy = 0.4, a = 0.373, w = 0.65, freqs = [182.71732292 245.02150939], gamma = 0.1217
hx = 0.2, hy = 0.375, a = 0.374, w = 0.65, freqs = [181.56457629 240.78718744], gamma = 0.12246
hx = 0.2, hy = 0.4, a = 0.374, w = 0.65, freqs = [182.38004515 244.42313069], gamma = 0.12266
hx = 0.2, hy = 0.375, a = 0.375, w = 0.65, freqs = [181.22215861 240.21125656], gamma = 0.12329
hx = 0.2, hy = 0.4, a = 0.375, w = 0.65, freqs = [182.03756408 243.80095114], gamma = 0.12358
hx = 0.2, hy = 0.375, a = 0.376, w = 0.65, freqs = [180.91058827 239.84169035], gamma = 0.12419
hx = 0.2, hy = 0.4, a = 0.376, w = 0.65, freqs = [181.72802914 243.38859656], gamma = 0.12453
hx = 0.2, hy = 0.375, a = 0.377, w = 0.65, freqs = [180.57176085 239.24332907], gamma = 0.12492
hx = 0.2, hy = 0.4, a = 0.377, w = 0.65, freqs = [181.38947488 242.73666563], gamma = 0.12534
hx = 0.2, hy = 0.375, a = 0.378, w = 0.65, freqs = [180.23432251 238.6602655 ], gamma = 0.12562
hx = 0.2, hy = 0.4, a = 0.378, w = 0.65, freqs = [181.05195368 242.11359007], gamma = 0.12613
hx = 0.2, hy = 0.375, a = 0.379, w = 0.65, freqs = [179.90124586 238.08355781], gamma = 0.12628
hx = 0.2, hy = 0.4, a = 0.379, w = 0.65, freqs = [180.72115011 241.5103747 ], gamma = 0.12688
hx = 0.2, hy = 0.375, a = 0.38, w = 0.65, freqs = [179.56313722 237.48583507], gamma = 0.1269
hx = 0.2, hy = 0.4, a = 0.38, w = 0.65, freqs = [180.37969343 240.86688758], gamma = 0.1276
hx = 0.2, hy = 0.4, a = 0.381, w = 0.65, freqs = [180.04446356 240.25938276], gamma = 0.1283
hx = 0.2, hy = 0.4, a = 0.382, w = 0.65, freqs = [179.70623591 239.65088844], gamma = 0.12897
hx = 0.2, hy = 0.4, a = 0.383, w = 0.65, freqs = [179.38402405 239.20817468], gamma = 0.12975
hx = 0.2, hy = 0.4, a = 0.384, w = 0.65, freqs = [179.03965523 238.54354294], gamma = 0.13031
hx = 0.2, hy = 0.425, a = 0.384, w = 0.65, freqs = [179.97301957 241.82859127], gamma = 0.1304
hx = 0.2, hy = 0.4, a = 0.385, w = 0.65, freqs = [178.7004415  237.90294027], gamma = 0.13085
hx = 0.2, hy = 0.425, a = 0.385, w = 0.65, freqs = [179.62857072 241.13744301], gamma = 0.13104
hx = 0.2, hy = 0.4, a = 0.386, w = 0.65, freqs = [178.36187221 237.25820125], gamma = 0.13134
hx = 0.2, hy = 0.425, a = 0.386, w = 0.65, freqs = [179.28362294 240.44881046], gamma = 0.13165
hx = 0.225, hy = 0.375, a = 0.387, w = 0.65, freqs = [179.95176413 243.03857426], gamma = 0.13185
hx = 0.225, hy = 0.4, a = 0.387, w = 0.65, freqs = [180.82878422 247.1424212 ], gamma = 0.13238
hx = 0.225, hy = 0.375, a = 0.388, w = 0.65, freqs = [179.57734809 242.41444691], gamma = 0.13273
hx = 0.225, hy = 0.4, a = 0.388, w = 0.65, freqs = [180.45447965 246.5155255 ], gamma = 0.1334
hx = 0.225, hy = 0.4, a = 0.389, w = 0.65, freqs = [180.36126652 246.1580527 ], gamma = 0.13344
hx = 0.225, hy = 0.375, a = 0.39, w = 0.65, freqs = [179.11777726 241.62048759], gamma = 0.13371
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, freqs = [179.9931699  245.69443808], gamma = 0.13456
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, freqs = [179.62302335 245.08942514], gamma = 0.1355
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, freqs = [179.2506586  244.42156575], gamma = 0.13635
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, freqs = [178.87764881 243.74667425], gamma = 0.13716
