hx = 0.225, hy = 0.4, a = 0.41, w = 0.65, freqs = [180.52631561 241.83752552], gamma = 0.12808
hx = 0.225, hy = 0.375, a = 0.411, w = 0.65, freqs = [179.34698838 237.90567497], gamma = 0.12829
hx = 0.225, hy = 0.4, a = 0.411, w = 0.65, freqs = [180.1973348  241.16823526], gamma = 0.12871
hx = 0.225, hy = 0.375, a = 0.412, w = 0.65, freqs = [179.0288135  237.31159103], gamma = 0.1288
hx = 0.225, hy = 0.4, a = 0.412, w = 0.65, freqs = [179.87758941 240.53667377], gamma = 0.12931
hx = 0.225, hy = 0.4, a = 0.413, w = 0.65, freqs = [179.55295005 239.89304903], gamma = 0.12989
hx = 0.225, hy = 0.4, a = 0.414, w = 0.65, freqs = [179.23164471 239.26011048], gamma = 0.13042
hx = 0.225, hy = 0.4, a = 0.415, w = 0.65, freqs = [178.92455818 238.83802706], gamma = 0.13114
hx = 0.225, hy = 0.4, a = 0.416, w = 0.65, freqs = [178.60752002 238.19465797], gamma = 0.13158
hx = 0.225, hy = 0.4, a = 0.417, w = 0.65, freqs = [178.28772159 237.53927009], gamma = 0.13199
hx = 0.25, hy = 0.375, a = 0.418, w = 0.65, freqs = [179.82657469 242.92162887], gamma = 0.13225
hx = 0.225, hy = 0.4, a = 0.418, w = 0.65, freqs = [177.96930138 236.89379366], gamma = 0.13238
